8.405430000000000401e-01 3.500000000000000000e+01 3.402369999999999894e+00 8.183535438938110973e-02
8.405430000000000401e-01 4.000000000000000000e+01 2.002400000000000180e+00 5.711633465130618731e-02
8.405430000000000401e-01 4.500000000000000000e+01 1.268189999999999928e+00 3.557827106558721086e-02
8.405430000000000401e-01 5.299669999999999703e+01 6.487260000000000248e-01 1.609755873810137655e-02
8.405430000000000401e-01 5.500000000000000000e+01 5.668269999999999698e-01 1.585738413292040946e-02
8.405430000000000401e-01 5.950500000000000256e+01 4.384270000000000111e-01 1.122177121876025488e-02
8.405430000000000401e-01 6.000000000000000000e+01 4.319529999999999759e-01 1.302960091383139826e-02
8.405430000000000401e-01 6.500000000000000000e+01 3.007500000000000173e-01 1.045783169780428214e-02
8.405430000000000401e-01 6.634619999999999607e+01 2.748829999999999885e-01 1.054417098704948062e-02
8.541570000000000551e-01 3.000000000000000000e+01 5.832639999999999603e+00 1.587767234192417609e-01
8.541570000000000551e-01 3.500000000000000000e+01 3.193690000000000140e+00 8.423890870290520749e-02
8.541570000000000551e-01 4.000000000000000000e+01 1.975659999999999972e+00 4.962071768872755584e-02
8.541570000000000551e-01 5.500000000000000000e+01 5.571500000000000341e-01 1.604401356425505173e-02
8.541570000000000551e-01 5.950489999999999924e+01 4.342079999999999829e-01 1.185805828044524113e-02
8.541570000000000551e-01 6.000000000000000000e+01 3.924389999999999823e-01 1.302422559331663232e-02
8.541570000000000551e-01 6.500000000000000000e+01 2.955369999999999941e-01 1.118920284980373485e-02
8.541570000000000551e-01 6.634619999999999607e+01 2.769860000000000100e-01 7.649811153983083513e-03
8.541570000000000551e-01 7.367839999999999634e+01 1.738530000000000075e-01 4.933549446485359716e-03
8.677709999999999591e-01 3.000000000000000000e+01 5.710189999999999877e+00 1.594973504353486005e-01
8.677709999999999591e-01 3.500000000000000000e+01 3.140719999999999956e+00 8.602020105604031575e-02
8.677709999999999591e-01 4.000000000000000000e+01 1.823430000000000106e+00 4.666542048956164729e-02
8.677709999999999591e-01 4.500000000000000000e+01 1.194639999999999924e+00 4.562855258311838968e-02
8.677709999999999591e-01 5.299649999999999750e+01 6.227409999999999890e-01 1.686324230266065746e-02
8.677709999999999591e-01 5.500000000000000000e+01 5.532759999999999900e-01 1.434296339202690597e-02
8.677709999999999591e-01 5.950480000000000302e+01 4.179680000000000062e-01 1.136546992650000303e-02
8.677709999999999591e-01 6.000000000000000000e+01 3.871339999999999781e-01 1.125262837314660452e-02
8.677709999999999591e-01 6.500000000000000000e+01 2.812870000000000092e-01 9.508830923470877258e-03
8.677709999999999591e-01 6.634610000000000696e+01 2.753860000000000197e-01 8.894770583028208805e-03
8.677709999999999591e-01 7.367829999999999302e+01 1.761600000000000110e-01 4.615022233359228516e-03
