(-5.69283e-07,3.95184e-07)
(2.53548e-06,3.69162e-06)
(1.84475e-06,-1.28058e-06)
(-2.40086e-06,-3.58536e-06)
(-5.52566e-07,-5.92541e-05)
(-0.000141333,-3.27907e-06)
(-9.00115e-07,6.24841e-07)
(4.00894e-06,5.83696e-06)
(1.30443e-06,-9.05509e-07)
(-1.69766e-06,-2.53523e-06)
(3.57025e-06,6.97083e-08)
(5.87389e-07,-2.88293e-05)
(1.01455e-07,5.12957e-08)
(4.08067e-07,-8.06856e-07)
(8.7453e-06,1.7075e-07)
(1.4388e-06,-7.0617e-05)
(2.15218e-07,1.08815e-07)
(8.65641e-07,-1.7116e-06)
(-9.8164e-07,7.81001e-07)
(3.04047e-06,3.93609e-06)
(3.14124e-06,-2.4992e-06)
(-3.03456e-06,-4.18061e-06)
(-2.51747e-06,-9.66823e-05)
(-0.000160407,-8.02456e-06)
(-1.55211e-06,1.23487e-06)
(4.8074e-06,6.2235e-06)
(2.22119e-06,-1.7672e-06)
(-2.14576e-06,-2.95614e-06)
(6.90556e-06,-7.24332e-07)
(-3.21669e-06,-3.15648e-05)
(2.38072e-07,7.23122e-08)
(3.02589e-07,-9.9445e-07)
(1.69151e-05,-1.77424e-06)
(-7.87925e-06,-7.73176e-05)
(5.05026e-07,1.53397e-07)
(6.41888e-07,-2.10955e-06)
(-1.39644e-06,1.23487e-06)
(3.50413e-06,4.19505e-06)
(4.42341e-06,-3.91162e-06)
(-3.62876e-06,-4.83982e-06)
(-6.58043e-06,-0.000131175)
(-0.000177689,-1.35192e-05)
(-2.20797e-06,1.9525e-06)
(5.54052e-06,6.63296e-06)
(3.12783e-06,-2.76593e-06)
(-2.56592e-06,-3.42227e-06)
(1.07156e-05,-2.12704e-06)
(-6.51153e-06,-3.40058e-05)
(4.23388e-07,7.25983e-08)
(2.00687e-07,-1.16132e-06)
(2.62477e-05,-5.21017e-06)
(-1.59499e-05,-8.32969e-05)
(8.98142e-07,1.54004e-07)
(4.25722e-07,-2.46353e-06)
(-1.68483e-06,1.59082e-06)
(3.82095e-06,4.38817e-06)
(5.30382e-06,-5.0079e-06)
(-4.03433e-06,-5.34756e-06)
(-1.09254e-05,-0.000153698)
(-0.000189034,-1.73888e-05)
(-2.66394e-06,2.51531e-06)
(6.04146e-06,6.93831e-06)
(3.75037e-06,-3.54112e-06)
(-2.8527e-06,-3.78129e-06)
(1.36326e-05,-3.47386e-06)
(-8.69123e-06,-3.56888e-05)
(5.82842e-07,5.70688e-08)
(1.27803e-07,-1.27585e-06)
(3.33928e-05,-8.50918e-06)
(-2.12891e-05,-8.74192e-05)
(1.23639e-06,1.21061e-07)
(2.71111e-07,-2.70648e-06)
(-2.2133e-06,2.34382e-06)
(4.41803e-06,4.77931e-06)
(6.89659e-06,-7.30327e-06)
(-4.78782e-06,-6.41353e-06)
(-2.28647e-05,-0.000192648)
(-0.000209229,-2.39694e-05)
(-3.49954e-06,3.7059e-06)
(6.98552e-06,7.55675e-06)
(4.87662e-06,-5.16419e-06)
(-3.3855e-06,-4.53505e-06)
(1.96208e-05,-6.85071e-06)
(-1.26932e-05,-3.89673e-05)
(9.5285e-07,-1.63883e-08)
(-1.81171e-08,-1.49816e-06)
(4.8061e-05,-1.67807e-05)
(-3.10919e-05,-9.54501e-05)
(2.0213e-06,-3.47649e-08)
(-3.84322e-08,-3.17808e-06)
(-2.59115e-06,2.98475e-06)
(4.8798e-06,5.09774e-06)
(8.0204e-06,-9.23869e-06)
(-5.35754e-06,-7.31742e-06)
(-3.53749e-05,-0.000219204)
(-0.000223875,-2.78746e-05)
