Segment #	CM Energy (MeV)	CM Angle (degrees)	CM Cross Section (barns)	Chi-Squared of Point
5	0.796783	0	4.159e-07	8.08403
5	1.23372	0	7.566e-07	7.14269
5	1.23471	0	7.921e-07	1.44977
22.2739

6	0.0926042	55	2.32e-10	2.02285
6	0.105711	55	5.46e-10	0.621559
6	0.126509	55	1.87e-09	0.572925
6	0.147694	55	4.61e-09	0.0250886
6	0.168879	55	9.35e-09	1.58458
6	0.169481	55	1e-08	0.436458
5.26347

7	0.0932917	55	1.71e-10	0.702566
7	0.106097	55	4.15e-10	0.00411807
7	0.170082	55	7.23e-09	0.159879
0.866563

8	0.0932917	55	6.5e-11	0.89723
8	0.106097	55	1.73e-10	0.0541398
8	0.170082	55	3.02e-09	0.0516948
1.00307

12	0.420006	55	3.33599e-07	1.07694
12	0.505993	55	5.03519e-07	0.559718
12	0.614496	55	7.78305e-07	0.388739
12	0.95002	55	1.64465e-06	0.154821
2.18022

13	0.95161	0	1.86e-06	0.170984
13	0.902794	0	1.78e-06	0.989933
13	0.855998	0	1.45e-06	1.44933
13	1.129	0	2.38e-06	0.512723
13	1.08409	0	2.18e-06	0.00199691
13	0.99398	0	1.93e-06	0.000534151
13	1.26741	0	2.46e-06	1.36858
13	1.15448	0	2.5e-06	1.03947
13	0.815003	0	1.34e-06	2.39422
13	0.671821	0	1.06e-06	0.142945
13	0.671692	0	1e-06	0.254575
13	0.593096	0	8.01e-07	0.0118275
13	0.474279	0	4.89e-07	0.0367131
13	0.384898	0	3.05e-07	2.29632
13	1.45202	0	3.25e-06	0.29349
13	1.37411	0	2.94e-06	0.000729478
13	0.303381	0	1.27e-07	0.000667505
10.965

14	1.05401	0	2.05e-06	0.0798778
14	2.007	0	4.7e-06	1.42021
14	2.80399	0	6.82e-06	0.00572008
1.50581

16	0.700999	0	1.11356e-06	0.00326298
16	0.801982	0	1.32233e-06	0.588849
16	0.902021	0	1.67725e-06	0.035918
16	1.00202	0	1.94123e-06	0.00499589
16	1.00202	0	1.8536e-06	1.65071
16	1.10201	0	2.20773e-06	0.0221352
16	1.10201	0	2.17046e-06	0.660568
16	1.103	0	2.225e-06	0.106575
16	1.20299	0	2.47498e-06	0.0205615
16	1.20299	0	2.44685e-06	0.0547956
16	1.35301	0	2.86737e-06	0.0302202
16	1.40299	0	2.8465e-06	2.87694
16	1.40299	0	2.81904e-06	4.14844
16	1.40299	0	2.89941e-06	0.685972
16	1.50401	0	3.30178e-06	0.365611
16	1.60401	0	3.49053e-06	0.0014405
16	1.704	0	3.79462e-06	0.136254
16	1.704	0	3.72902e-06	0.0455725
16	1.804	0	4.0119e-06	0.0311627
16	1.804	0	4.09536e-06	0.579712
16	1.90399	0	4.31733e-06	0.0749615
16	1.955	0	4.66069e-06	6.01963
16	2.00502	0	4.27827e-06	0.413974
16	2.055	0	4.81556e-06	0.804817
16	2.10502	0	4.68515e-06	0.349814
16	2.15598	0	4.96061e-06	0.851558
16	2.20501	0	5.05852e-06	0.00846009
16	2.20501	0	4.81122e-06	2.06607
16	2.30501	0	5.49673e-06	1.80455
16	2.30599	0	5.2435e-06	0.185274
16	2.40599	0	5.79633e-06	2.37989
16	2.50702	0	5.78662e-06	1.54739
16	2.76201	0	6.70113e-06	0.843111
16	2.85702	0	7.08724e-06	0.0474113
16	2.85702	0	7.1823e-06	0.481416
16	2.90799	0	7.58119e-06	0.449339
16	2.92801	0	7.39535e-06	0.587469
16	2.947	0	7.91832e-06	0.76667
16	2.96802	0	7.83396e-06	0.0384618
16	2.98701	0	7.79247e-06	0.0375533
16	2.988	0	7.65635e-06	0.496189
16	3.00798	0	7.90407e-06	0.720563
16	3.02801	0	7.67512e-06	0.017374
16	3.04799	0	7.60381e-06	0.054632
16	3.06801	0	7.62881e-06	8.85133e-05
16	3.08898	0	7.44381e-06	0.977061
16	3.11	0	7.11339e-06	3.00444
16	3.13002	0	7.72682e-06	0.0115546
37.0894

17	1.47307	55	2.96e-06	0.715242
17	1.79106	55	3.78e-06	0.252086
17	2.11507	55	4.68e-06	0.0393778
17	2.33809	55	5.08e-06	0.66103
17	2.52717	55	6.06e-06	3.02345
4.69119

